Datum;PCR.Posit;Kumulative.PCR.testami;AgPosit;Kumulativne - AgPosit
6.3.2020;1;1;0;0
7.3.2020;2;3;0;0
8.3.2020;2;5;0;0
9.3.2020;2;7;0;0
10.3.2020;0;7;0;0
11.3.2020;3;10;0;0
12.3.2020;11;21;0;0
13.3.2020;11;32;0;0
14.3.2020;12;44;0;0
15.3.2020;17;61;0;0
16.3.2020;11;72;0;0
17.3.2020;24;96;0;0
18.3.2020;8;104;0;0
19.3.2020;19;123;0;0
20.3.2020;14;137;0;0
21.3.2020;41;178;0;0
22.3.2020;7;185;0;0
23.3.2020;19;204;0;0
24.3.2020;12;216;0;0
25.3.2020;10;226;0;0
26.3.2020;43;269;0;0
27.3.2020;23;292;0;0
28.3.2020;22;314;0;0
29.3.2020;22;336;0;0
30.3.2020;27;363;0;0
31.3.2020;37;400;0;0
1.4.2020;26;426;0;0
2.4.2020;24;450;0;0
3.4.2020;21;471;0;0
4.4.2020;14;485;0;0
5.4.2020;49;534;0;0
6.4.2020;47;581;0;0
7.4.2020;101;682;0;0
8.4.2020;19;701;0;0
9.4.2020;14;715;0;0
10.4.2020;13;728;0;0
11.4.2020;14;742;0;0
12.4.2020;27;769;0;0
13.4.2020;66;835;0;0
14.4.2020;28;863;0;0
15.4.2020;114;977;0;0
16.4.2020;72;1049;0;0
17.4.2020;40;1089;0;0
18.4.2020;72;1161;0;0
19.4.2020;12;1173;0;0
20.4.2020;26;1199;0;0
21.4.2020;45;1244;0;0
22.4.2020;81;1325;0;0
23.4.2020;35;1360;0;0
24.4.2020;13;1373;0;0
25.4.2020;6;1379;0;0
26.4.2020;2;1381;0;0
27.4.2020;3;1384;0;0
28.4.2020;7;1391;0;0
29.4.2020;5;1396;0;0
30.4.2020;7;1403;0;0
1.5.2020;4;1407;0;0
2.5.2020;1;1408;0;0
3.5.2020;5;1413;0;0
4.5.2020;8;1421;0;0
5.5.2020;8;1429;0;0
6.5.2020;16;1445;0;0
7.5.2020;10;1455;0;0
8.5.2020;0;1455;0;0
9.5.2020;2;1457;0;0
10.5.2020;0;1457;0;0
11.5.2020;8;1465;0;0
12.5.2020;4;1469;0;0
13.5.2020;8;1477;0;0
14.5.2020;3;1480;0;0
15.5.2020;13;1493;0;0
16.5.2020;1;1494;0;0
17.5.2020;1;1495;0;0
18.5.2020;0;1495;0;0
19.5.2020;1;1496;0;0
20.5.2020;6;1502;0;0
21.5.2020;1;1503;0;0
22.5.2020;1;1504;0;0
23.5.2020;5;1509;0;0
24.5.2020;2;1511;0;0
25.5.2020;2;1513;0;0
26.5.2020;2;1515;0;0
27.5.2020;5;1520;0;0
28.5.2020;0;1520;0;0
29.5.2020;1;1521;0;0
30.5.2020;0;1521;0;0
31.5.2020;1;1522;0;0
1.6.2020;0;1522;0;0
2.6.2020;3;1525;0;0
3.6.2020;1;1526;0;0
4.6.2020;0;1526;0;0
5.6.2020;2;1528;0;0
6.6.2020;0;1528;0;0
7.6.2020;2;1530;0;0
8.6.2020;1;1531;0;0
9.6.2020;2;1533;0;0
10.6.2020;8;1541;0;0
11.6.2020;1;1542;0;0
12.6.2020;3;1545;0;0
13.6.2020;3;1548;0;0
14.6.2020;4;1552;0;0
15.6.2020;0;1552;0;0
16.6.2020;9;1561;0;0
17.6.2020;1;1562;0;0
18.6.2020;14;1576;0;0
19.6.2020;10;1586;0;0
20.6.2020;1;1587;0;0
21.6.2020;1;1588;0;0
22.6.2020;1;1589;0;0
23.6.2020;18;1607;0;0
24.6.2020;23;1630;0;0
25.6.2020;13;1643;0;0
26.6.2020;14;1657;0;0
27.6.2020;7;1664;0;0
28.6.2020;1;1665;0;0
29.6.2020;2;1667;0;0
30.6.2020;20;1687;0;0
1.7.2020;13;1700;0;0
2.7.2020;20;1720;0;0
3.7.2020;29;1749;0;0
4.7.2020;15;1764;0;0
5.7.2020;1;1765;0;0
6.7.2020;2;1767;0;0
